#California QSO party. CA counties
ALAM;ALAMEDA
ALPI;ALPINE
AMAD;AMADOR
BUTT;BUTTE
CALA;CALAVERAS
CCOS;CONTRA COSTA
COLU;COLUSA
DELN;DEL NORTE
ELDO;EL DORADO
FRES;FRESNO
GLEN;GLENN
HUMB;HUMBOLDT
IMPE;IMPERIAL
INYO;INYO
KERN;KERN
KING;KINGS
LAKE;LAKE
LANG;LOS ANGELES
LASS;LASSEN
MADE;MADERA
MARN;MARIN
MARP;MARIPOSA
MEND;MENDOCINO
MERC;MERCED
MODO;MODOC
MONO;MONO
MONT;MONTEREY
NAPA;NAPA
NEVA;NEVADA
ORAN;ORANGE
PLAC;PLACER
PLUM;PLUMAS
RIVE;RIVERSIDE
SACR;SACRAMENTO
SBAR;SANTA BARBARA
SBEN;SAN BENITO
SBER;SAN BERNARDINO
SCLA;SANTA CLARA
SCRU;SANTA CRUZ
SDIE;SAN DIEGO
SFRA;SAN FRANCISCO
SHAS;SHASTA
SIER;SIERRA
SISK;SISKIYOU
SJOA;SAN JOAQUIN
SLUI;SAN LUIS OBISPO
SMAT;SAN MATEO
SOLA;SOLANO
SONO;SONOMA
STAN;STANISLAUS
SUTT;SUTTER
TEHA;TEHAMA
TRIN;TRINITY
TULA;TULARE
TUOL;TUOLUMNE
VENT;VENTURA
YOLO;YOLO
YUBA;YUBA
