#Multipliers for Kansas qso party, KS counties
# these are mults for stations outside KS, but all count
# for the "KS" state mult for stations within KS.
ALL;ALLEN
AND;ANDERSON
ATC;ATCHISON
BAR;BARBER
BRT;BARTON
BOU;BOURBON
BRO;BROWN
BUT;BUTLER
CHS;CHASE
CHT;CHAUTAUQUA
CHE;CHEROKEE
CHY;CHEYENNE
CLK;CLARK
CLY;CLAY
CLO;CLOUD
COF;COFFEY
COM;COMANCHE
COW;COWLEY
CRA;CRAWFORD
DEC;DECATUR
DIC;DICKINSON
DON;DONIPHAN
DOU;DOUGLAS
EDW;EDWARDS
ELK;ELK
ELL;ELLIS
ELS;ELLSWORTH
FIN;FINNEY
FOR;FORD
FRA;FRANKLIN
GEA;GEARY
GOV;GOVE
GRM;GRAHAM
GRT;GRANT
GRY;GRAY
GLY;GREELEY
GRE;GREENWOOD
HAM;HAMILTON
HPR;HARPER
HVY;HARVEY
HAS;HASKELL
HOG;HODGEMAN
JAC;JACKSON
JEF;JEFFERSON
JEW;JEWELL
JOH;JOHNSON
KEA;KEARNY
KIN;KINGMAN
KIO;KIOWA
LAB;LABETTE
LAN;LANE
LEA;LEAVENWORTH
LCN;LINCOLN
LIN;LINN
LOG;LOGAN
LYO;LYON
MRN;MARION
MSH;MARSHALL
MCP;MCPHERSON
MEA;MEADE
MIA;MIAMI
MIT;MITCHELL
MGY;MONTGOMERY
MOR;MORRIS
MTN;MORTON
NEM;NEMAHA
NEO;NEOSHO
NES;NESS
NOR;NORTON
OSA;OSAGE
OSB;OSBORNE
OTT;OTTAWA
PAW;PAWNEE
PHI;PHILLIPS
POT;POTTAWATOMIE
PRA;PRATT
RAW;RAWLINS
REN;RENO
REP;REPUBLIC
RIC;RICE
RIL;RILEY
ROO;ROOKS
RUS;RUSH
RSL;RUSSELL
SAL;SALINE
SCO;SCOTT
SED;SEDGWICK
SEW;SEWARD
SHA;SHAWNEE
SHE;SHERIDAN
SMN;SHERMAN
SMI;SMITH
STA;STAFFORD
STN;STANTON
STE;STEVENS
SUM;SUMNER
THO;THOMAS
TRE;TREGO
WAB;WABAUNSEE
WAL;WALLACE
WAS;WASHINGTON
WIC;WICHITA
WIL;WILSON
WOO;WOODSON
WYA;WYANDOTTE
