#Multipliers for MS QSO party, stations outside of Mississippi
ADA;ADAMS
ALC;ALCORN
AMI;AMITE
ATT;ATTALA
BEN;BENTON
BOL;BOLIVAR
CHI;CHICKASAW
CHO;CHOCTAW
CAL;CALHOUN
CLB;CLAIBORNE
CLA;CLAY
CLK;CLARKE
COA;COAHOMA
COP;COPIAH
COV;COVINGTON
CAR;CARROLL
DES;DESOTO
FOR;FORREST
FRA;FRANKLIN
GEO;GEORGE
GRN;GREENE
GRE;GRENADA
HAN;HANCOCK
HAR;HARRISON
HIN;HINDS
HOL;HOLMES
HUM;HUMPHREYS
ISS;ISSAQUENA
ITA;ITAWAMBA
JAC;JACKSON
JAS;JASPER
JDV;JEFFERSON DAVIS
JEF;JEFFERSON
JON;JONES
KEM;KEMPER
LAF;LAFAYETTE
LAM;LAMAR
LAU;LAUDERDALE
LAW;LAWRENCE
LEA;LEAKE
LEE;LEE
LEF;LEFLORE
LIN;LINCOLN
LOW;LOWNDES
MRN;MARION
MAD;MADISON
MGY;MONTGOMERY
MON;MONROE
MAR;MARSHALL
NES;NESHOBA
NEW;NEWTON
NOX;NOXUBEE
OKT;OKTIBBEHA
PAN;PANOLA
PER;PERRY
PIK;PIKE
PEA;PEARL RIVER
PON;PONTOTOC
PRE;PRENTISS
QUI;QUITMAN
RAN;RANKIN
SCO;SCOTT
SHA;SHARKEY
SIM;SIMPSON
SMI;SMITH
STO;STONE
SUN;SUNFLOWER
TAL;TALLAHATCHIE
TAT;TATE
TIP;TIPPAH
TIS;TISHOMINGO
TUN;TUNICA
UNI;UNION
WAL;WALTHALL
WAS;WASHINGTON
WAY;WAYNE
WEB;WEBSTER
WIN;WINSTON
WIL;WILKINSON
WAR;WARREN
YAL;YALOBUSHA
YAZ;YAZOO
