#Pennsylvania QSO party. PA counties
ADA;Adams
ALL;Allegheny
ARM;Armstrong
BEA;Beaver
BED;Bedford
BER;Berks
BLA;Blair
BRA;Bradford
BUT;Butler
BUX;Bucks
CAR;Carbon
CEN;Centre
CHE;Chester
CLA;Clarion
CLE;Clearfield
CLI;Clinton
CMB;Cambria
COL;Columbia
CRA;Crawford
CRN;Cameron
CUM;Cumberland
DAU;Dauphin
DCO;Delaware
ELK;Elk
ERI;Erie
Fay;Fayette
FOR;Forest
FRA;Franklin
FUL;Fulton
GRE;Greene
HUN;Huntingdon
INN;Indiana
JEF;Jefferson
JUN;Juniata
LAC;Lackawanna
LAN;Lancaster
LAW;Lawrence
LEB;Lebanon
LEH;Lehigh
LUZ;Luzerne
LYC;Lycoming
MCK;McKean
MER;Mercer
MGY;Montgomery
MIF;Mifflin
MOE;Monroe 	  	 
MTR;Montour
NHA;Northhampton
NUM;Northumberland
PER;Perry
PHI;Philadelphia
PIK;Pike
POT;Potter
SCH;Schuylkill
SNY;Snyder
SOM;Somerset
SUL;Sullivan
SUS;Susquehanna
TIO;Tioga
UNI;Union
VEN;Venango
WAR;Warren
WAS;Washington
WAY;Wayne
WES;Westmoreland
WYO;Wyoming
YOR;York
